CompoundID,Gene Target,pIC50
CM-212452,Abl,5.5
CM-212452,ACVR1,5.33
CM-212452,Akt1,5.39
CM-212452,ALK,5.32
CM-212452,Aurora1,5.26
CM-212452,BTK,5.23
CM-212452,CAMK1D,5.26
CM-212452,CAMK2A,5.44
CM-212452,CAMKK2,5.3
CM-212452,CDK8/Cyclin C,5.3
CM-212452,CDK9/Cyclin K,5.31
CM-212452,Ck1alpha1,5.44
CM-212452,CSF1R,5.3
CM-212452,DDR1,5.28
CM-212452,Dyrk1A,5.63
CM-212452,EGFR,5.35
CM-212452,Erk2,5.27
CM-212452,FAK,5.27
CM-212452,Flt1,5.27
CM-212452,Fyn,5.25
CM-212452,GRK5,5.25
CM-212452,Gsk3b,5.22
CM-212452,IGF1R,5.43
CM-212452,IKKE,5.33
CM-212452,JAK2,5.34
CM-212452,JAK3,5.3
CM-212452,JNK1,5.29
CM-212452,Lck,5.13
CM-212452,LTK,5.37
CM-212452,MAP3K10,5.26
CM-212452,MAP4K2,5.63
CM-212452,MAP4K4,5.33
CM-212452,MEK1,5.32
CM-212452,PAK4KD,5.36
CM-212452,PDGFRB,5.57
CM-212452,Pim1,5.25
CM-212452,PKA,5.31
CM-212452,PKCtheta,5.41
CM-212452,PKG1A,5.4
CM-212452,Plk3,5.43
CM-212452,Prkcn,5.56
CM-212452,RET,5.34
CM-212452,Rsk2,5.33
CM-212452,TAOK2,5.4
CM-212452,TNK2,5.41
CM-212452,TrkC,5.33
CM-212452,Wee1,5.3
CM-212452,Zipk,5.24
CM-212452,BRAF,5.6
CM-212452,MAP2K3,5.39
CM-212452,MST1,5.44
CM-212452,Rock1,5.34
CM-212452,SGK1,5.29
CM-212452,STK16,5.34
CM-370560,Abl,5.5
CM-370560,ACVR1,6.4
CM-370560,Akt1,5.39
CM-370560,ALK,5.32
CM-370560,Aurora1,5.26
CM-370560,Aurora2,5.3
CM-370560,BTK,5.23
CM-370560,CAMK1D,5.26
CM-370560,CAMK2A,6.41
CM-370560,CAMKK2,5.3
CM-370560,CDK8/Cyclin C,5.3
CM-370560,CDK9/Cyclin K,5.31
CM-370560,Ck1alpha1,5.34
CM-370560,CLK2,5.33
CM-370560,CSF1R,5.3
CM-370560,DDR1,5.28
CM-370560,Dyrk1A,5.29
CM-370560,EGFR,5.35
CM-370560,Erk2,5.27
CM-370560,FAK,5.27
CM-370560,Flt1,5.27
CM-370560,Fyn,5.25
CM-370560,GRK5,5.25
CM-370560,Gsk3b,10.2
CM-370560,IGF1R,5.43
CM-370560,IKKE,5.33
CM-370560,JAK2,6.58
CM-370560,JAK3,6.54
CM-370560,JNK1,5.29
CM-370560,Lck,5.13
CM-370560,LTK,5.37
CM-370560,MAP3K10,5.26
CM-370560,MAP4K2,7.02
CM-370560,MAP4K4,5.33
CM-370560,MEK1,5.32
CM-370560,PAK4KD,5.36
CM-370560,Pim1,5.25
CM-370560,PKA,5.31
CM-370560,PKCtheta,5.41
CM-370560,PKG1A,5.4
CM-370560,Plk3,5.43
CM-370560,Prkcn,5.56
CM-370560,RET,6.16
CM-370560,Rsk2,6.66
CM-370560,TAOK2,5.4
CM-370560,TNK2,5.41
CM-370560,Wee1,5.3
CM-370560,Zipk,5.24
CM-370560,BRAF,5.6
CM-370560,MAP2K3,5.39
CM-370560,MST1,5.44
CM-370560,Rock1,5.34
CM-370560,SGK1,5.29
CM-370560,STK16,5.34
CM-758910,Abl,7.91
CM-758910,ACVR1,5.36
CM-758910,Akt1,5.3
CM-758910,ALK,5.24
CM-758910,Aurora1,7.21
CM-758910,Aurora2,6.24
CM-758910,BTK,5.23
CM-758910,CAMK1D,5.61
CM-758910,CAMK2A,5.36
CM-758910,CAMKK2,5.51
CM-758910,CDK8/Cyclin C,8.86
CM-758910,CDK9/Cyclin K,5.78
CM-758910,Ck1alpha1,5.39
CM-758910,CLK2,5.42
CM-758910,CSF1R,7.57
CM-758910,DDR1,8.9
CM-758910,Dyrk1A,5.73
CM-758910,EGFR,5.78
CM-758910,Erk2,5.18
CM-758910,FAK,6.6
CM-758910,Flt1,7.92
CM-758910,Fyn,5.81
CM-758910,GRK5,5.36
CM-758910,Gsk3b,5.45
CM-758910,IGF1R,5.58
CM-758910,IKKE,5.8
CM-758910,JAK2,6.24
CM-758910,JAK3,5.32
CM-758910,JNK1,5.29
CM-758910,Lck,6.96
CM-758910,LTK,7.25
CM-758910,MAP3K10,7.33
CM-758910,MAP4K2,6.14
CM-758910,MAP4K4,6.23
CM-758910,MEK1,5.48
CM-758910,Nek2,7.05
CM-758910,PAK4KD,5.34
CM-758910,PDGFRB,8.25
CM-758910,Pim1,5.24
CM-758910,PKA,5.86
CM-758910,PKCtheta,5.65
CM-758910,PKG1A,5.44
CM-758910,Plk3,7.3
CM-758910,Prkcn,5.41
CM-758910,RET,8.9
CM-758910,Rsk2,5.91
CM-758910,TAOK2,6.02
CM-758910,TBK1,5.5
CM-758910,TNK2,6.02
CM-758910,TrkC,7.7
CM-758910,Wee1,5.61
CM-758910,Zipk,5.27
CM-758910,BRAF,7.7
CM-758910,MAP2K3,5.51
CM-758910,MST1,6.85
CM-758910,Rock1,6.52
CM-758910,SGK1,5.45
CM-758910,STK16,5.27
CM-758910,cMET,6.18
CM-937596,Abl,6.1
CM-937596,ACVR1,6.18
CM-937596,Akt1,5.39
CM-937596,ALK,7.44
CM-937596,Aurora1,5.91
CM-937596,Aurora2,5.93
CM-937596,BTK,6.58
CM-937596,CAMK1D,5.83
CM-937596,CAMK2A,5.77
CM-937596,CAMKK2,6.39
CM-937596,CDK8/Cyclin C,5.3
CM-937596,CDK9/Cyclin K,5.31
CM-937596,Ck1alpha1,5.2
CM-937596,CLK2,6.21
CM-937596,CSF1R,7.19
CM-937596,DDR1,5.63
CM-937596,Dyrk1A,5.29
CM-937596,EGFR,5.59
CM-937596,Erk2,5.27
CM-937596,FAK,7.23
CM-937596,Flt1,6.22
CM-937596,Fyn,6.46
CM-937596,GRK5,5.84
CM-937596,Gsk3b,5.47
CM-937596,IGF1R,7.69
CM-937596,IKKE,7.07
CM-937596,JAK2,7.96
CM-937596,JAK3,7.06
CM-937596,JNK1,5.4
CM-937596,Lck,5.97
CM-937596,LTK,6.96
CM-937596,MAP3K10,6.19
CM-937596,MAP4K2,6.51
CM-937596,MAP4K4,6.8
CM-937596,MEK1,7.36
CM-937596,Nek2,5.29
CM-937596,PAK4KD,6.73
CM-937596,PDGFRB,6.26
CM-937596,Pim1,5.25
CM-937596,PKA,6.04
CM-937596,PKCtheta,5.75
