GeneSymbol,Ensembl ID,EntrezGene,ae,thresholdset,gene_count,drug_count,ae_count,drugs_with_ae,bioactive_drugs
CSF1R,ENSG00000182578,,Platelet count abnormal,11,3175,4905,2381,53,144
CSF1R,ENSG00000182578,,Urine output decreased,11,3175,4905,2381,137,144
CSF1R,ENSG00000182578,,Thermal burn,11,3175,4905,2381,113,144
CSF1R,ENSG00000182578,,Oliguria,11,3175,4905,2381,246,144
CSF1R,ENSG00000182578,,Hypercholesterolaemia,11,3175,4905,2381,352,144
CSF1R,ENSG00000182578,,Choking,11,3175,4905,2381,264,144
CSF1R,ENSG00000182578,,Lower limb fracture,11,3175,4905,2381,217,144
CSF1R,ENSG00000182578,,Adrenal insufficiency,11,3175,4905,2381,305,144
CSF1R,ENSG00000182578,,Bradycardia,11,3175,4905,2381,975,144
CSF1R,ENSG00000182578,,Abdominal abscess,11,3175,4905,2381,30,144
CSF1R,ENSG00000182578,,Aphonia,11,3175,4905,2381,134,144
CSF1R,ENSG00000182578,,Post transplant lymphoproliferative disorder,11,3175,4905,2381,55,144
CSF1R,ENSG00000182578,,Inappropriate schedule of product administration,11,3175,4905,2381,749,144
CSF1R,ENSG00000182578,,Madarosis,11,3175,4905,2381,37,144
CSF1R,ENSG00000182578,,Tendon rupture,11,3175,4905,2381,96,144
CSF1R,ENSG00000182578,,Haemodynamic instability,11,3175,4905,2381,247,144
CSF1R,ENSG00000182578,,Neoplasm malignant,11,3175,4905,2381,513,144
CSF1R,ENSG00000182578,,Neutropenic infection,11,3175,4905,2381,33,144
CSF1R,ENSG00000182578,,Mouth swelling,11,3175,4905,2381,75,144
CSF1R,ENSG00000182578,,Amenorrhoea,11,3175,4905,2381,184,144
CSF1R,ENSG00000182578,,Sarcoidosis,11,3175,4905,2381,80,144
CSF1R,ENSG00000182578,,Gastrointestinal perforation,11,3175,4905,2381,164,144
CSF1R,ENSG00000182578,,Retinal detachment,11,3175,4905,2381,106,144
CSF1R,ENSG00000182578,,Dementia Alzheimer's type,11,3175,4905,2381,93,144
CSF1R,ENSG00000182578,,Rash macular,11,3175,4905,2381,396,144
CSF1R,ENSG00000182578,,Fluid retention,11,3175,4905,2381,607,144
CSF1R,ENSG00000182578,,Ulcer haemorrhage,11,3175,4905,2381,40,144
CSF1R,ENSG00000182578,,Blood alkaline phosphatase increased,11,3175,4905,2381,461,144
CSF1R,ENSG00000182578,,Surgery,11,3175,4905,2381,371,144
CSF1R,ENSG00000182578,,Chronic graft versus host disease,11,3175,4905,2381,58,144
,ENSG00000182578,,Lymphocyte count decreased,11,3175,4905,2381,227,144
,ENSG00000182578,,Splenic infarction,11,3175,4905,2381,28,144
,ENSG00000182578,,Electrocardiogram abnormal,11,3175,4905,2381,180,144
,ENSG00000182578,,Condition aggravated,11,3175,4905,2381,1433,144
CSF1R,ENSG00000182578,,Exposure during pregnancy,11,3175,4905,2381,807,144
CSF1R,ENSG00000182578,,Inappropriate antidiuretic hormone secretion,11,3175,4905,2381,247,144
CSF1R,ENSG00000182578,,Nervousness,11,3175,4905,2381,1092,144
CSF1R,ENSG00000182578,,Hepatic cyst,11,3175,4905,2381,47,144
CSF1R,ENSG00000182578,,Emphysema,11,3175,4905,2381,144,144
CSF1R,ENSG00000182578,,Embolism,11,3175,4905,2381,271,144
CSF1R,ENSG00000182578,,Maternal exposure before pregnancy,11,3175,4905,2381,80,144
CSF1R,ENSG00000182578,,Tumour pain,11,3175,4905,2381,25,144
CSF1R,ENSG00000182578,,Underdose,11,3175,4905,2381,466,144
CSF1R,ENSG00000182578,,Prostatic specific antigen increased,11,3175,4905,2381,43,144
CSF1R,ENSG00000182578,,Feeding disorder,11,3175,4905,2381,340,144
CSF1R,ENSG00000182578,,Blood pressure fluctuation,11,3175,4905,2381,296,144
CSF1R,ENSG00000182578,,Vulvovaginal mycotic infection,11,3175,4905,2381,37,144
CSF1R,ENSG00000182578,,Pulmonary tuberculosis,11,3175,4905,2381,68,144
CSF1R,ENSG00000182578,,Oropharyngeal discomfort,11,3175,4905,2381,132,144
CSF1R,ENSG00000182578,,Diverticulitis,11,3175,4905,2381,340,144
CSF1R,ENSG00000182578,,Ileus,11,3175,4905,2381,304,144
CSF1R,ENSG00000182578,,Cystitis haemorrhagic,11,3175,4905,2381,90,144
CSF1R,ENSG00000182578,,Recall phenomenon,11,3175,4905,2381,32,144
CSF1R,ENSG00000182578,,Leukaemia,11,3175,4905,2381,97,144
CSF1R,ENSG00000182578,,Chest discomfort,11,3175,4905,2381,1097,144
CSF1R,ENSG00000182578,,Retinal artery occlusion,11,3175,4905,2381,25,144
CSF1R,ENSG00000182578,,Wrong technique in product usage process,11,3175,4905,2381,776,144
CSF1R,ENSG00000182578,,Gynaecomastia,11,3175,4905,2381,256,144
CSF1R,ENSG00000182578,,Lower gastrointestinal haemorrhage,11,3175,4905,2381,42,144
CSF1R,ENSG00000182578,,Lung neoplasm malignant,11,3175,4905,2381,302,144
CSF1R,ENSG00000182578,,Gastric cancer,11,3175,4905,2381,57,144
CSF1R,ENSG00000182578,,Muscle spasticity,11,3175,4905,2381,182,144
CSF1R,ENSG00000182578,,Haemorrhagic diathesis,11,3175,4905,2381,43,144
CSF1R,ENSG00000182578,,Hyperthyroidism,11,3175,4905,2381,228,144
CSF1R,ENSG00000182578,,Pleuritic pain,11,3175,4905,2381,48,144
CSF1R,ENSG00000182578,,Flatulence,11,3175,4905,2381,826,144
CSF1R,ENSG00000182578,,COVID-19,11,3175,4905,2381,816,144
CSF1R,ENSG00000182578,,Cerebral infarction,11,3175,4905,2381,353,144
CSF1R,ENSG00000182578,,Urinary incontinence,11,3175,4905,2381,511,144
CSF1R,ENSG00000182578,,Neoplasm,11,3175,4905,2381,145,144
CSF1R,ENSG00000182578,,Rash,11,3175,4905,2381,2320,144
CSF1R,ENSG00000182578,,Systemic lupus erythematosus,11,3175,4905,2381,344,144
CSF1R,ENSG00000182578,,Ischaemic cardiomyopathy,11,3175,4905,2381,51,144
CSF1R,ENSG00000182578,,Arthropod bite,11,3175,4905,2381,41,144
CSF1R,ENSG00000182578,,Upper limb fracture,11,3175,4905,2381,238,144
CSF1R,ENSG00000182578,,Arteriospasm coronary,11,3175,4905,2381,57,144
CSF1R,ENSG00000182578,,Graft versus host disease in gastrointestinal tract,11,3175,4905,2381,64,144
CSF1R,ENSG00000182578,,Mucormycosis,11,3175,4905,2381,83,144
CSF1R,ENSG00000182578,,Device related infection,11,3175,4905,2381,239,144
CSF1R,ENSG00000182578,,Peripheral coldness,11,3175,4905,2381,203,144
CSF1R,ENSG00000182578,,Skin toxicity,11,3175,4905,2381,96,144
CSF1R,ENSG00000182578,,Hepatic steatosis,11,3175,4905,2381,379,144
CSF1R,ENSG00000182578,,Withdrawal syndrome,11,3175,4905,2381,288,144
CSF1R,ENSG00000182578,,Guillain-Barre syndrome,11,3175,4905,2381,141,144
CSF1R,ENSG00000182578,,Osteoporotic fracture,11,3175,4905,2381,30,144
CSF1R,ENSG00000182578,,Oral candidiasis,11,3175,4905,2381,338,144
CSF1R,ENSG00000182578,,Peripheral vascular disorder,11,3175,4905,2381,42,144
CSF1R,ENSG00000182578,,Supraventricular tachycardia,11,3175,4905,2381,205,144
CSF1R,ENSG00000182578,,Folate deficiency,11,3175,4905,2381,31,144
CSF1R,ENSG00000182578,,Tongue discomfort,11,3175,4905,2381,44,144
CSF1R,ENSG00000182578,,Normal newborn,11,3175,4905,2381,127,144
CSF1R,ENSG00000182578,,Arteriosclerosis,11,3175,4905,2381,155,144
CSF1R,ENSG00000182578,,Blindness,11,3175,4905,2381,509,144
CSF1R,ENSG00000182578,,Therapeutic response decreased,11,3175,4905,2381,590,144
CSF1R,ENSG00000182578,,Urticaria,11,3175,4905,2381,1863,144
CSF1R,ENSG00000182578,,Cold sweat,11,3175,4905,2381,247,144
CSF1R,ENSG00000182578,,Blepharitis,11,3175,4905,2381,56,144
