CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-1622017,JAK1 EC50(uM),0.259,389.45,,79.59,3.586,3.5863,1,7,3,0.36364,UNKNOWN,41.7,86.7,,,3.24
CM-1749952,JAK1 EC50(uM),0.312,461.99,,89.36,2.132,1.3643,2,9,2,0.68182,UNKNOWN,,,,,
CM-1749952,JAK1 EC50(uM),0.312,461.99,,89.36,2.132,1.3643,2,9,2,0.68182,UNKNOWN,,,,,
CM-1749702,JAK1 EC50(uM),3,386.49,,97.12,1.995,1.9948,3,8,2,0.65,UNKNOWN,,,,,
CM-1749701,JAK1 EC50(uM),3,385.51,,80.13,2.524,1.7222,2,8,2,0.65,UNKNOWN,,,,,
CM-1211176,JAK1 EC50(uM),3,294.39,,41.99,3.412,3.4079,1,3,2,0.36842,UNKNOWN,58.9,485,,,25.1
CM-1799501,JAK1 EC50(uM),3,338.4,,66.76,4.811,4.6715,2,4,2,0.19048,UNKNOWN,,,,,
CM-1692858,JAK1 EC50(uM),3,434.43,,116.55,0.413,0.4114,3,10,3,0.19048,UNKNOWN,45.4,36,0.599,53.9,4.57
CM-2268139,JAK1 EC50(uM),3,358.35,,83.35,1.905,1.9054,3,7,3,0.23529,UNKNOWN,25.1,12,,,
CM-2268072,JAK1 EC50(uM),3,380.42,,65.77,3.939,3.9393,1,7,3,0.35,UNKNOWN,50.1,361,,,2.5
CM-2282716,JAK1 EC50(uM),3,330.45,,58.12,3.848,3.8453,1,5,2,0.58824,UNKNOWN,33.2,83,,,88.9
CM-286077,JAK1 EC50(uM),0.355,341.38,,104.81,-0.311,-0.311,2,8,0,0.71429,UNCLASSIFIED INTERMEDIATES,,,,,
CM-1597080,JAK1 EC50(uM),2.21,299.37,,73.91,1.947,1.901,2,6,2,0.4375,OTHER,,,,,
